titre,date,genre,duree,realisateur,distributeur,acteurs,nationalites,langue_d_origine,type_film,annee_production,nombre_article,description,film_id_allocine,image,boxoffice
Le Projet Blair Witch,1999-07-28,Epouvante-horreur,78,Daniel Myrick,-,"Heather Donahue,Michael C. Williams,Joshua Leonard",U.S.A.,Anglais,Long-métrage,1999,12,"En octobre 1994, trois jeunes cineastes, Heather Donahue, Joshua Leonard et Michael Williams, disparaissent en randonnee dans la foret de Black Hill au cours d'un reportage sur la sorcellerie. Un an plus tard, on a retrouve le film de leur enquete. Le Projet Blair Witch suit l'itineraire eprouvant des trois cineastes a travers la foret de Black Hills et rend compte des evenements terrifiants qui s'y sont deroules. A ce jour, les trois cineastes sont toujours portes disparus.",20268,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/73/27/15/19196742.jpg,46051
Wild Wild West,1999-08-04,Action_Aventure_Western,104,Barry Sonnenfeld,Warner Bros. France,"Will Smith,Kevin Kline,Kenneth Branagh",U.S.A.,Anglais,Long-métrage,1999,11,"1869. Pour neutraliser son plus puissant ennemi, le démoniaque et richissime Dr Arliss Loveless, le président des États-Unis désigne deux agents spéciaux, James West et Artemus Gordon, choisis pour leurs compétences exceptionnelles. Si James West est un champion de l'humour à froid, charmeur et rusé, Artemus, lui, prône la réflexion et passe son temps à inventer des gadgets sophistiqués. Quelque peu rivaux, les deux agents vont devoir unir leur talent pour capturer l'infame Loveless. Rita Escobar, belle et mystérieuse artiste, se joint à eux.",20290,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/68/34/57/19021919.jpg,37616
La Neuvième porte,1999-08-25,Fantastique_Thriller,132,Roman Polanski,Bac Films,"Johnny Depp,Frank Langella,Lena Olin",U.S.A.,Anglais,Long-métrage,1999,18,"Dean Corso est un chercheur de livres rares pour collectionneurs fortunes. Sa reputation lui vaut d'etre engage par un eminent bibliophile, feru de demonologie, Boris Balkan, qui lui demande de traquer les deux derniers exemplaires du legendaire manuel d'invocation satanique, ""les Neuf Portes du royaume des ombres"". Corso releve le defi. De New York a Tolede, de Paris a Cintra, il s'enfonce dans un labyrinthe seme de pieges et de tentations. Il va peu a peu decrypter les enigmes du livre maudit et decouvrir le veritable enjeu de sa mission.",20391,https://fr.web.img6.acsta.net/c_310_420/pictures/13/12/27/14/50/326915.jpg,101940
"South Park, le film",1999-08-25,Animation_Comédie_Musical,81,Trey Parker,Warner Bros. France,"Trey Parker,Matt Stone,Mary Kay Bergman",U.S.A.,Anglais,Long-métrage,1998,286,"Quatre garnements ont reussi a assister a la projection d'un film canadien de Terance et Phillip interdit au moins de dix-huit ans. Tetanises de bonheur et transportes au septieme ciel, Stan, Kyle, Kenny et Cartman n'ont plus qu'une idee: transmettre leur savoir a leurs copines et copains verts d'envie. Bientot les enseignants sont impuissants face a l'anarchie qui s'installe. Alertees, les meres s'unissent pour que leurs rejetons se calment mais par leurs methodes expeditives provoquent la guerre entre le gouvernement canadien et la Maison-Blanche.",20395,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/images/affiches/044098.jpg,73036
Eyes Wide Shut,1999-09-15,Drame_Erotique_Thriller,159,Stanley Kubrick,Warner Bros. France,"Tom Cruise,Nicole Kidman,Madison Eginton",Grande-Bretagne,Anglais,Long-métrage,1999,29,,20502,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/65/43/72/19106205.jpg,389322
La maladie de Sachs,1999-09-22,Comédie dramatique,107,Michel Deville,-,"Albert Dupontel,Valérie Dréville,Dominique Reymond",France,Français,Long-métrage,1999,18,,20445,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/66/35/28/18928815.jpg,67152
Big Daddy,1999-09-22,Comédie,93,Dennis Dugan,-,"Adam Sandler,Joey Lauren Adams,Jon Stewart",U.S.A.,Anglais,Long-métrage,1999,9,"Pour impressionner sa petite amie Vanessa et à la suite d'un quiproquo, Sonny, célibataire endurci, fait croire qu'il est le père naturel de Julian, un jeune garcon de cinq ans qu'il adopte. C'est la catastrophe et l'enfer des nuits détruites, des séances insupportables de câlins sans parler de la chanson du Kangourou, qui font découvrir a Sony un monde qu'il ignorait totalement. Cependant Sonny fait face a ses responsabilités et un attachement profond nait entre lui et l'enfant. Jusqu'au jour où les services sociaux découvrent qu'il n'est pas le père du petit.",20537,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/images/affiches/044241.jpg,141577
Thomas Crown,1999-09-22,Policier_Romance_Thriller,105,John McTiernan,United International Pictures (UIP),"Pierce Brosnan,Rene Russo,Ben Gazzara",U.S.A.,Anglais,Long-métrage,1999,17,"Financier reputé, mecène généreux et collectionneur d'art, Thomas Crown a le goût du risque, du jeu et de l'aventure. Sûr de lui, il reste pourtant un solitaire invétéré qui n'a jamais entretenu que de brèves liaisons. Depuis quelques semaines, il sacrifie ses déjeuners pour visiter le plus grand musée de New York et y admirer a loisir une toile de Van Gogh. Le conservateur lui fait remarquer un Monet d'une valeur inestimable qui laisse le financier indifferent. Un jour, un commando de quatre hommes investit le musée. Crown en profite pour dissimuler le Monet dans son cartable.",20498,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/66/35/75/19009415.jpg,324195
Les Enfants du Siècle,1999-09-22,Biopic_Comédie dramatique_Historique,135,Diane Kurys,Bac Films,"Juliette Binoche,Benoît Magimel,Robin Renucci",France,Français,Long-métrage,1999,11,"1832, George Sand vient de publier ""Indiana"", livre scandaleux ou elle évoque sa vie de femme. Musset, lui, avait écrit ""Namouna"" dans une langue qui déconcertait et ravissait les femmes. Il avait vingt-deux ans. Elle avait six ans de plus.",20544,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/images/affiches/044248.jpg,170106
Le Songe d'une nuit d'été,1999-09-22,Comédie_Fantastique_Romance,115,Michael Hoffman,UFD,"Bill Irwin,Rupert Everett,Sophie Marceau",Grande-Bretagne,Anglais,Long-métrage,1999,10,"Alors que le duc de Thesee s'apprete a epouser la belle Hippolyte, il recoit la visite d'Egee qui se plaint amerement que sa fille, Hermia, refuse l'epoux qu'il lui destinait, Demetrius, et pretend epouser Lysandre dont elle est amoureuse. Thesee ordonne a la jeune fille d'obeir a son pere et lui accorde un delai de grace. Hermia en profite pour s'enfuir avec Lysandre dans un bois ou ils s'endorment chastement. Ils vont bientot etre rejoint par Helena qui elle est amoureuse de Demetrius qui, lui, cherche sa future ainsi que d'Oberon et Titania, le roi et la reine des fees.",20490,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/images/affiches/044194.jpg,41750
Star Wars : Episode I - La Menace fantôme,1999-10-13,Aventure_Fantastique_Science fiction,133,George Lucas,Twentieth Century Fox France,"Liam Neeson,Ewan McGregor,Natalie Portman",U.S.A.,Anglais,Long-métrage,1999,29,"Avant de devenir un célèbre chevalier Jedi, et bien avant de se révéler l’âme la plus noire de la galaxie, Anakin Skywalker est un jeune esclave sur la planète Tatooine. La Force est déjà puissante en lui et il est un remarquable pilote de Podracer. Le maître Jedi Qui-Gon Jinn le découvre et entrevoit alors son immense potentiel.",20754,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/35/83/29/20017378.jpg,296406
Sixième Sens,2000-01-05,Drame_Thriller,107,M. Night Shyamalan,Gaumont Buena Vista International (GBVI),"Bruce Willis,Haley Joel Osment,Toni Collette",U.S.A.,Anglais,Long-métrage,1999,26,"Cole Sear, garconnet de huit ans est hanté par un terrible secret. Son imaginaire est visité par des esprits menaçants. Trop jeune pour comprendre le pourquoi de ces apparitions et traumatisé par ces pouvoirs paranormaux, Cole s'enferme dans une peur maladive et ne veut reveler à personne la cause de son enfermement, à l'exception d'un psychologue pour enfants. La recherche d'une explication rationnelle guidera l'enfant et le thérapeute vers une vérité foudroyante et inexplicable.",22092,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/66/15/77/19255607.jpg,806230
Le goût des autres,2000-03-01,Comédie dramatique_Romance,112,Agnès Jaoui,Pathé,"Jean-Pierre Bacri,Gérard Lanvin,Alain Chabat",France,Français,Long-métrage,2000,21,"Castella est un chef d'entreprise peu porté sur la culture. Pourtant, un soir, en allant par obligation assister à une représentation de ""Bérénice"", il tombe en adoration du texte et de l'actrice principale, Clara. Par une coïncidence, celle-ci va lui donner des cours d'anglais, nécessaires à son travail. Castella tente de s'intégrer à ce milieu artistique mais sans grand succès. On ne bouscule pas ainsi les cadres de références et les barrières culturelles sans faire d'histoires.",22758,https://fr.web.img6.acsta.net/c_310_420/medias/04/65/25/046525_af.jpg,24000
La Langue des papillons,2000-05-10,Comédie dramatique,95,José Luis Cuerda,Gaumont Buena Vista International (GBVI),"Fernando Fernán Gómez,Manuel Lozano Opispo,Uxia Blanco",Espagne,Espagnol,Long-métrage,1999,15,"Moncho, 8 ans, a peur d’aller à l’école. Pourtant, son maître, Don Gregorio, aux méthodes si peu orthodoxes, va vite faire de l’apprentissage du savoir et de la vie un vrai bonheur. Mais, en ce 18 juillet 1936, tout se brise. Les principes inculqués, et la relation privilégiée entre l’élève et son maître, seront mis à mal par les évènements politiques.",28109,https://fr.web.img6.acsta.net/c_310_420/pictures/22/12/22/16/41/4599870.jpg,42001
Chevauchée avec le diable,2000-07-18,Drame_Romance,135,Ang Lee,Sagittaire Films,"Skeet Ulrich,Tobey Maguire,Jewel Kilcher",U.S.A.,Anglais,Long-métrage,1999,16,"Pendant la guerre de Sécession, des combattants pro-sudistes opérant en commandos isolés, les",34557,https://fr.web.img6.acsta.net/c_310_420/pictures/23/05/24/15/31/2772860.jpg,30740
Memento,2000-10-11,Thriller,116,Christopher Nolan,Metropolitan FilmExport,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano",U.S.A.,Anglais,Long-métrage,2000,18,"Leonard Shelby ne porte que des costumes de grands couturiers et ne se déplace qu'au volant de sa Jaguar. En revanche, il habite dans des motels miteux et règle ses notes avec d'épaisses liasses de billets.",25744,https://fr.web.img3.acsta.net/c_310_420/pictures/23/06/08/11/42/1463419.jpg,1200000
Chicken Run,2000-11-21,Animation_Aventure_Comédie,84,Peter Lord,Pathé,"Mel Gibson,Julia Sawalha,Miranda Richardson",Grande-Bretagne,Anglais,Long-métrage,2000,262,"En 1950, en Angleterre, dans le Yorkshire, la vie paisible du poulailler de la ferme Tweedy semble plaire à ses locataires. La nourriture est abondante et l'endroit est chaleureux. Mais la poule Ginger est loin de partager l'avis de ses consoeurs : elle rêve de grand espace et de liberté. Chaque jour, elle essaie sans succès de s'évader de la basse-cour. La courageuse Ginger s'arme de patience pour faire comprendre à ses copines volatiles que le grillage n'est pas autour de la ferme mais bien dans leur tête.",27791,https://fr.web.img2.acsta.net/c_310_420/pictures/22/11/28/09/10/1516243.jpg,126059
Billy Elliot,2000-12-20,Comédie dramatique,110,Stephen Daldry,Tamasa Distribution,"Jamie Bell,Julie Walters,Gary Lewis",Grande-Bretagne,Anglais,Long-métrage,1999,22,"Dans un petit village minier du Nord-Est de l'Angleterre, Billy, onze ans, découvre avec stupeur qu'un cours de danse partage désormais les mêmes locaux que son club de boxe. D'abord effaré, il devient peu à peu fasciné par la magie de la gestuelle du ballet, activité pourtant trop peu virile au regard de son père et de son frère Tony, mineurs en grève.",11295,https://fr.web.img6.acsta.net/c_310_420/pictures/17/11/03/15/11/1547744.jpg,200445
Incassable,2000-12-27,Fantastique_Thriller,106,M. Night Shyamalan,Gaumont Buena Vista International (GBVI),"Bruce Willis,Samuel L. Jackson,Robin Wright",U.S.A.,Anglais,Long-métrage,2000,18,"Elijah Price souffre depuis sa naissance d'une forme d'ostéogénèse. S'il reçoit le moindre choc, ses os cassent comme des brindilles. Depuis son enfance, il n'a de cesse d'admirer les superhéros, des personnages qui sont tout l'opposé de lui-même. Propriétaire d'un magasin spécialisé dans les bandes-dessinées, il épluche pendant son temps libre les vieux articles de journaux à la recherche des plus grands désastres qui ont frappé les Etats-Unis. Il se met alors en quête d'éventuels survivants, mais y parvient rarement.",27792,https://fr.web.img2.acsta.net/c_310_420/medias/05/11/01/051101_af.jpg,195451
Mon beau-père et moi,2001-01-03,Comédie_Romance,107,Jay Roach,United International Pictures (UIP),"Robert De Niro,Ben Stiller,Teri Polo",U.S.A.,Anglais,Long-métrage,2000,18,"Greg Focker, un modeste infirmier de Chicago, vit depuis deux mois avec la charmante Pam Byrnes et rêve d'officialiser leur union. Ravie de sa proposition, la jeune femme insiste pour un strict respect des règles bourgeoises : Greg devra obtenir l'accord de son père, Jack.",27777,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/67/67/19/19458150.jpg,215409
Seul au monde,2001-01-17,Aventure_Drame,143,Robert Zemeckis,United International Pictures (UIP),"Tom Hanks,Helen Hunt,Nick Searcy",U.S.A.,Anglais,Long-métrage,2000,22,"Chuck Noland, un cadre de Fedex, sillonne le monde pour améliorer les performances de son entreprise et la productivité de ses équipes. Il ne trouve la tranquillité qu'auprès de sa compagne Kelly. Mais à la veille de Noël, il reçoit un appel lui annonçant qu'il doit contrôler la livraison d'un colis urgent pour la Malaisie. Il n'en a que pour quatre jours et reviendra pour fêter le Nouvel An avec sa dulcinée.",27770,https://fr.web.img2.acsta.net/c_310_420/medias/05/12/12/051212_af.jpg,442316
Le Placard,2001-01-17,Comédie,84,Francis Veber,Gaumont Buena Vista International (GBVI),"Daniel Auteuil,Gérard Depardieu,Thierry Lhermitte",France,Français,Long-métrage,2000,23,"François Pignon, un homme au costume sombre et à l'allure discrète, est comptable dans une usine de caoutchouc, dont le secteur privilégié est le préservatif.",27793,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/36/38/15/19649866.jpg,1190496
La Ville Est Tranquille,2001-01-17,Drame,133,Robert Guédiguian,Diaphana Films,"Ariane Ascaride,Jean-Pierre Darroussin,Pierre Banderet",France,Français,Long-métrage,2000,21,"Michèle est une ouvrière à la criée aux poissons, qui s'est mise en tête de sauver sa fille toxicomane. Paul trahit ses amis dockers en grève pour devenir chauffeur de taxi.",26404,https://fr.web.img4.acsta.net/c_310_420/medias/05/12/13/051213_af.jpg,51072
Peines d'amour perdues,2001-01-24,Comédie musicale_Comédie,93,Kenneth Branagh,Pathé,"Kenneth Branagh,Alessandro Nivola,Alicia Silverstone",Grande-Bretagne,Anglais,Long-métrage,2000,14,,26858,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/images/affiches/051226.jpg,42169
Origine contrôlée,2001-01-24,Comédie,90,Ahmed Bouchaala,L.C.J. Editions et Productions,"Patrick Ligardes,Atmen Kélif,Ronit Elkabetz",France,Français,Long-métrage,2001,14,"Patrick Morel (Patrick Ligardes ; Le créateur), déguisé en femme, sort d'une fête costumée. Il se retrouve dans les toilettes d'un bar pour passer un coup de fil. Zoubida (Karim Belkhadra ; Les rivières pourpres), un travesti, en profite pour procéder à un échange de sac à main avant de disparaître.",27936,https://fr.web.img6.acsta.net/c_310_420/pictures/16/10/20/17/20/467109.jpg,42930
